Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
344, Neivasal Thenpathi,Thanjavur,Orathanad,NEIVASAL THENPATHI,10.7,79.3,19-01-1967
343, Orathanad,Thanjavur,Orathanad,MUTHAMBALPURAM,10.6286,79.2531,25-04-1949
346, Papanasam,Thanjavur,Papanasam,PAPANASAM,10.9245,79.2729,25-01-1983
349, Pattukkottai,Thanjavur,Pattukottai,NADIYAMMALPURAM,10.4333,79.3167,01-05-1985
351, Peravurani,Thanjavur,Peravurani,PERAVURANI - 1,10.2837,79.2028,02-01-1984
342," Taluk Office, Kumbakonam",Thanjavur,Kumbakonam,KUMBAKONAM (PATTANAM),10.9617,79.3881,09-04-1979
353, Thanjavur,Thanjavur,Thanjavur,PUDUPATTINAM,10.787,79.1378,05-03-1970
340, Thirukkattupalli,Thanjavur,Budalur,THIRUKKATTUPALLI,10.8483,78.9566,10-02-1939
355, Thiruvaiyaru,Thanjavur,Thiruvaiyaru,MUGASA KALYANAPURAM,10.8866,79.1167,17-03-1970
357, Thiruvidaimaruthur,Thanjavur,Thiruvidaimaruthur,THIRUVIDAIMARUTHUR,10.9972,79.4524,10-01-1979
354, Vallam,Thanjavur,Thanjavur,VALLAM NORTH,10.714,79.0702,10-03-1970
359, Vettikadu,Thanjavur,Thiruvonam,VETTIKADU,10.5699,79.1929,25-04-1949
360, Burliar,The Nilgiris,Coonoor,BURLIAR,11.3428,76.8484,29-11-2019
361, Coonoor,The Nilgiris,Coonoor,Conoor Town,11.3442,76.7948,29-11-2019
362, Adar estate,The Nilgiris,Coonoor,COONOOR RURAL,11.3704,76.834,27-02-2020
363, Billimalai Estate,The Nilgiris,Coonoor,HULICAL 1,11.3663,76.8199,27-02-2020
364, Ketti,The Nilgiris,Coonoor,KETTI 2,11.3833,76.7666,29-11-2019
365, Alakarai Estate,The Nilgiris,Coonoor,YEDAPALLY,11.3686,76.8507,27-02-2020
366, Devala,The Nilgiris,Gudalur,DEVALA 2,11.4723,76.3815,29-11-2019
367, Gudalur Bazaar,The Nilgiris,Gudalur,GUDALUR 1,11.5046,76.4904,29-11-2019
368, Upper Gudalur,The Nilgiris,Gudalur,GUDALUR 2,11.503,76.4917,27-02-2020
369, Barwood,The Nilgiris,Gudalur,OVALLEY 1,11.4374,76.4874,27-02-2020
370, Wood Braiyar Estate,The Nilgiris,Gudalur,PAdanthorai 1,11.5391,76.4246,27-02-2020
371, Harisan Malayalam Ltd. cherumulli,The Nilgiris,Gudalur,PADANTHORAI 2,11.56,76.4337,27-02-2020
372, Kil Kotagiri Estate,The Nilgiris,Kotagiri,DENAD-I,11.4531,76.9351,27-02-2020
373, Kodanad,The Nilgiris,Kotagiri,KODANAD,11.5229,76.9083,29-11-2019
374, Kotagiri,The Nilgiris,Kotagiri,KOTAGIRI -1,11.4232,76.8636,29-11-2019
375, Chamraj Estate,The Nilgiris,Kundah,balacola 2,11.2981,76.6813,27-02-2020
376, Avalanche,The Nilgiris,Kundah,ITHALAR 1,11.3036,76.5799,29-11-2019
377, Emerald,The Nilgiris,Kundah,ITHALAR 2,11.3206,76.5799,29-11-2019
378, Upperbhavani,The Nilgiris,Kundah,ITHALAR 2,11.2257,76.5254,29-11-2019
379, Kundah Bridge,The Nilgiris,Kundah,KIL KUNDAH 1,11.2667,76.65,29-11-2019
380, Geddai,The Nilgiris,Kundah,KIL-KUNDAH 2,11.2504,76.6802,29-11-2019
381, Kinnakorai,The Nilgiris,Kundah,KINNAKORAI,11.2174,76.6636,29-11-2019
382, Harisan Malayalam Ltd. Went worth Estate Cher,The Nilgiris,Pandalur,CHERANGODE-2,11.5135,76.2825,27-02-2020
383, Taluk Office Pandalur,The Nilgiris,Pandalur,NELLIYALAM 1,11.4871,76.3412,27-02-2020
384, Kallaty,The Nilgiris,Udhagai,HULLATHY,11.4628,76.681,29-11-2019
385, Shanthi vijaya School,The Nilgiris,Udhagai,MASINAGUDI,11.56,76.64,27-02-2020
386, Naduvattam,The Nilgiris,Udhagai,NADUVATTAM,11.4806,76.5428,29-11-2019
387, Glenmorgan,The Nilgiris,Udhagai,SHOLUR,11.4727,76.6123,29-11-2019
388, Parsonsvalley,The Nilgiris,Udhagai,SHOLUR,11.3946,76.5931,08-06-2026
389, Portimund,The Nilgiris,Udhagai,SHOLUR,11.3767,76.5718,08-06-2026
390, Udhagai,The Nilgiris,Udhagai,Udhagai Town(East),11.4187,76.711,01-01-2010
391, Aundipatti,Theni,Aundipatti,Andipatti Bit-I,10.0003,77.608,08-10-2007
392, Bodinayakanur,Theni,Bodinayakanur,Bodi(Town),10.0205,77.3283,01-01-1940
393, Vaigai Dam,Theni,Periyakulam,Melmangalam Bit -2,10.0694,77.5294,01-01-1958
394, Sothuparai,Theni,Periyakulam,Thengarai Bit-2,10.1293,77.4659,01-11-2001
395, Periyakulam,Theni,Periyakulam,Thenkarai Bit -1,10.1249,77.5341,04-10-1900
396, Manjalar,Theni,Periyakulam,Thevathanapatti Bit -1,10.1911,77.6312,01-04-1968
397, Aranmanipudhur,Theni,Theni,Koduvilarpatti,9.99894,77.4839,31-12-1977
398, Veerapandi,Theni,Theni,Veerapandi,9.96408,77.4315,20-10-1935
399, Gudalur,Theni,Uthamapalayam,Melagudalur -North,9.66912,77.2358,20-07-1941
400, Periyar,Theni,Uthamapalayam,Melagudalur-South,9.6166,77.1833,01-01-1941
401, Thekkadi,Theni,Uthamapalayam,Melagudalur-South,9.59604,77.1728,01-01-1941
402, Shanmuganadhi,Theni,Uthamapalayam,Rayappanpatti,9.73539,77.3534,07-11-2022
403, Uthamapalayam,Theni,Uthamapalayam,Uthamapalayam (South),9.80532,77.3349,01-01-1979
404, Kallakudi,Thiruchirappalli,Lalgudi,KALLAKUDI,10.9796,78.9513,01-07-1992
405, Nandhiyar Head,Thiruchirappalli,Lalgudi,NATHAMANGUDI,10.8998,78.9438,01-07-1980
406, Pullambadi,Thiruchirappalli,Lalgudi,PULLAMBADI(NORTH),10.9282,78.7815,01-07-1980
407, Lalgudi,Thiruchirappalli,Lalgudi,SIRUDAIYUR,10.8805,78.8168,01-07-1980
408, Ponnaniyar Dam,Thiruchirappalli,Manapparai,SEKKANAM,10.6072,78.4214,01-07-1974
409, Manapparai,Thiruchirappalli,Manapparai,SEVALUR,10.608,78.4223,01-07-1998
410, Vathalai Anaicut,Thiruchirappalli,Mannachanallur,KARIYAMANIKAM (WEST),10.8934,78.5822,01-07-1978
411, Samayapuram,Thiruchirappalli,Mannachanallur,S.KANNANUR(WEST),10.9212,78.7385,01-07-1981
412, Sirukudi,Thiruchirappalli,Mannachanallur,SIRUKUDI,11.0382,78.6728,01-07-2005
413, Devimangalam,Thiruchirappalli,Mannachanallur,THATHAMANGALAM,10.9822,78.719,01-07-2005
414, Marungapuri,Thiruchirappalli,Marungapuri,MARUNGAPURI,10.4478,78.434,01-07-2006
415, Kovilpatty,Thiruchirappalli,Marungapuri,THOTTIAPATTY,10.523,78.4791,01-07-2005
416, Musiri,Thiruchirappalli,Musiri,MUSIRI (KEL),10.9461,78.4457,01-07-1983
417, Pulivalam,Thiruchirappalli,Musiri,PULIVALAM,11.0131,78.6373,01-07-2004
418, Thathaiyagarpet,Thiruchirappalli,Musiri,THATHIENGARPATTAI,10.9545,78.4444,01-07-1983
419, Navalur kottapattu,Thiruchirappalli,Srirangam,NAVALURKOTTAPATTU,10.7548,78.6017,01-07-1980
420, Tiruchirappalli Junction,Thiruchirappalli,Thiruchirapalli-west,K ABHISHEKAPURAM,10.7942,78.6854,01-07-1981
421, Tiruchirappalli Town,Thiruchirappalli,Thiruchirapalli-west,K ABHISHEKAPURAM,10.8074,78.6829,01-07-1986
422, Thuvakudi,Thiruchirappalli,Thiruverumbur,THUVAKUDI,10.7514,78.8297,27-09-2010
423, Koppampatti,Thiruchirappalli,Thuraiyur,KOPPAMPATTI,11.1699,78.624,01-07-2005
424, Thenparanadu,Thiruchirappalli,Thuraiyur,THENPARANADU,11.3066,78.5878,11-09-2008
425, Thuraiyur,Thiruchirappalli,Thuraiyur,THURAIYUR,11.1448,78.5941,01-07-1971
426, Ponmalai (Golden rock),Thiruchirappalli,Tiruchirappalli-east,ALATHUR,10.7865,78.7272,01-07-1971
427, Tiruchirappalli Airport,Thiruchirappalli,Tiruchirappalli-east,KOTTAPATTU,10.7616,78.7092,01-07-1971
428, Kudavasal,Thiruvarur,Kudavasal,Kudavasal,10.8589,79.4788,01-01-1934
429, Mannargudi,Thiruvarur,Mannargudi,Mannargudi,10.6693,79.4464,22-05-1971
430," Sub Registrar Office, Muthupettai",Thiruvarur,Muthupettai,Muthupettai,10.4108,79.495,10-09-1924
431," Taluk Office, Nannilam",Thiruvarur,Nannilam,Nallamaangudi,10.88,79.61,01-01-1960
432, Pandavaiyaru,Thiruvarur,Needamangalam,KALATHUR,10.7539,79.4987,01-01-1997
433, Needamangalam,Thiruvarur,Needamangalam,Palaiya Nedamangalam,10.7737,79.4169,11-02-1982
434," Taluk Office, Thiruthuraipoondi",Thiruvarur,Thiruthuraipoondi,Thiruthuraipoondi,10.5752,79.6033,10-09-1924
435," Taluk Office , Tiruvarur",Thiruvarur,Thiruvarur,Vijayapuram,10.7666,79.6284,01-01-1997
436, Valangaiman,Thiruvarur,Valangaiman,Valangaiman,10.8894,79.3929,01-01-1914
437, Ettayapuram,Thoothukudi,Ettayapuram,ETTAIYAPURAM,9.15062,77.9823,15-12-1967
438, Kadambur,Thoothukudi,Kayathar,KADAMBUR,8.9966,77.8603,15-12-1967
439, Kayathar,Thoothukudi,Kayathar,KAYATHAR,8.947,77.7738,21-07-1966
440, Kalugumalai,Thoothukudi,Kovilpatty,KALUGUMALAI,9.14726,77.7042,15-12-1967
441, Kovilpatti,Thoothukudi,Kovilpatty,KOVILPATTI,9.1744,77.8747,15-12-1967
442, Keelarasadi,Thoothukudi,Ottapidaram,KEELAARASADI,8.85863,78.1459,10-07-1984
443, Maniyachi,Thoothukudi,Ottapidaram,MANIYACHI,8.90491,78.0228,15-12-1967
444, Ottapadiram,Thoothukudi,Ottapidaram,OTTAPIDARAM,8.9158,78.021,15-06-1989
445, VEDANATHAM,Thoothukudi,Ottapidaram,VEDANATHAM,8.97205,78.1469,15-12-1984
446, Sathankulam,Thoothukudi,Sattankulam,SATTANKULAM,8.44249,77.9096,12-11-1981
447," Old Taluk Office, Srivaikuntam",Thoothukudi,Srivaikundam,SRIVAIKUNTAM,8.3745,77.5444,22-01-1974
448, TUTICORIN,Thoothukudi,Thoothukudi,Mullakkadu part-1,8.75094,78.1888,22-01-1974
449, Kayalpattinam,Thoothukudi,Tiruchendur,KAYALPATTANAM SOUTH,8.5684,78.1199,24-08-1964
450, TIRUCHENDUR,Thoothukudi,Tiruchendur,KEELA TIRUCHENDUR,8.499,78.1255,19-03-1914
451, Kulasekarapattinam,Thoothukudi,Tiruchendur,KULASEKARAPATTANAM,8.4,78.0523,05-07-1901
452, Kadalkudi,Thoothukudi,Vilathikulam,KADALKUDI,9.2084,78.2428,10-01-1994
453, Surankudi,Thoothukudi,Vilathikulam,SOORANGUDI,9.1051,78.3198,24-08-1989
454, VAIPPAR,Thoothukudi,Vilathikulam,VAIPPAR-I,9.135,78.1453,24-08-1989
455, VILATHIKULAM,Thoothukudi,Vilathikulam,VILATHIKULAM,9.1302,78.1681,11-04-1960
456, Kannadian Anicut,Tirunelveli,Ambasamudram,Kallidaikurichi Vadakku,8.68538,77.4397,07-11-2022
457, Ambasamudram,Tirunelveli,Ambasamudram,Mela ambasamudram,8.70336,77.457,02-08-1962
458, Kakkachi,Tirunelveli,Ambasamudram,Singampatti Jamin - 2,8.55858,77.3891,07-11-2022
459, Manimutharu,Tirunelveli,Ambasamudram,Singampatti Jamin - 2,8.65583,77.4136,03-01-1958
460, Manjolai,Tirunelveli,Ambasamudram,Singampatti Jamin - 2,8.56951,77.4076,07-11-2022
461, Nalumukku,Tirunelveli,Ambasamudram,Singampatti Jamin - 2,8.55312,77.3616,07-11-2022
462, Oothu,Tirunelveli,Ambasamudram,Singampatti Jamin - 2,8.57525,77.3394,07-11-2022
463, Papanasam,Tirunelveli,Ambasamudram,vickiramasingapuram - 2,8.65125,77.3113,09-01-1944
464, Servalar Dam,Tirunelveli,Ambasamudram,vickiramasingapuram - 2,8.68783,77.3038,07-11-2022
465, Cheranmahadevi,Tirunelveli,Cheranmahadevi,Cherankovilpathu,8.68972,77.5625,07-01-1989
466, Nanguneri,Tirunelveli,Nanguneri,MARUKALKURICHI,8.49547,77.6464,07-06-1933
467, Moolaikaraipatti,Tirunelveli,Nanguneri,MUNANGIPATTI,8.53852,77.7654,07-11-2022
468, Kalakadu,Tirunelveli,Nanguneri,PADALAIYAR KULAM,8.51376,77.558,07-11-2022
469, Kodumudiyaru Dam,Tirunelveli,Nanguneri,THIRUGURANKUDI PART-1,8.42644,77.5273,07-11-2022
470, Palayamkottai,Tirunelveli,Palayamkottai,KEELAVEERARAGAVAPURAM,8.726,77.7155,20-01-1995
471, Radhapuram,Tirunelveli,Radhapuram,RADHAPURAM,8.27228,77.687,19-08-1988
472, Nambiyar Dam,Tirunelveli,Thisayanvilai,KOTTAIKARUNGULAM PART-1,8.37092,77.7386,07-11-2022
473, Tirunelveli,Tirunelveli,Tirunelveli,TIRUNELVELI,8.72776,77.6951,19-09-1988
474, Ambur,Tirupathur,Ambur,Ambur,12.7841,78.7217,22-01-2019
475," ACS Mill, Vadapudupattu",Tirupathur,Ambur,Vadapuduputtu,12.8236,78.7689,01-07-1982
476, TCS Mill Kethandapatti,Tirupathur,Natrampalli,Kethandapatti,12.6129,78.5585,15-11-1977
477," PWD IB, Natrampalli",Tirupathur,Natrampalli,Natrampalli,12.5913,78.5123,01-07-2006
478," Taluk Office, Tirupathur",Tirupathur,Tirupattur,Tiruppattur Town,12.493,78.566,01-01-1980
479, Alangayam,Tirupathur,Vaniyambadi,Alangayam,12.6243,78.7531,01-01-1980
480, Vaniyambadi,Tirupathur,Vaniyambadi,Vaniyambadi Urban,12.6872,78.6186,01-01-1980
481, Avinashi,Tiruppur,Avinashi,AVINASHI,11.2,77.2833,01-01-2009
482, Dharapuram,Tiruppur,Dharapuram,CHITARAVITHANPALAYAM,10.7333,77.5333,01-01-1950
483, Uppar dam,Tiruppur,Dharapuram,KETHALREV,10.7775,77.4228,07-11-2022
484, Kundadam,Tiruppur,Dharapuram,KUNDADAM,10.8341,77.5293,01-02-2019
485, moolanur,Tiruppur,Dharapuram,MOOLANUR,10.7833,77.7,01-01-1983
486, Nallathangal Odai Reservoir,Tiruppur,Dharapuram,PONNIVADI,10.6932,77.5947,07-11-2022
487, Kangeyam,Tiruppur,Kangeyam,KANGEYAM,11,77.5667,01-01-1980
488, Vattamalai Karai Odai Reservoir,Tiruppur,Kangeyam,UTHAMA PALAYAM,10.901,77.6726,07-11-2022
489, Vellakoil,Tiruppur,Kangeyam,VELLAKOIL,10.9543,77.6874,01-02-2019
490, Madathukulam,Tiruppur,Madathukkulam,SARKAR KANNADI PUTHUR,10.5559,77.366,01-02-2019
491, Palladam,Tiruppur,Palladam,NARANAPURAM,10.9942,77.2844,01-01-1996
492," PWD IB,(Collector Camp Office)",Tiruppur,Tiruppur north,THOTTIPALAYAM,11.1227,77.304,03-09-2021
493, Tiruppur North Taluk Office,Tiruppur,Tiruppur north,THOTTIPALAYAM,11.1085,77.341,15-12-1989
494, District Collector Office,Tiruppur,Tiruppur south,VEERAPANDI,11.0825,77.342,01-02-2019
495, Tiruppur South Taluk Office,Tiruppur,Tiruppur south,VEERAPANDI,11.0842,77.3809,01-02-2019
496, Amaravathy Dam,Tiruppur,Udumalpet,ANDIKONDANUR 1,10.4183,77.2635,01-01-1958
497, Udumalpet,Tiruppur,Udumalpet,KANAKAMPALAYAM,10.5841,77.2452,01-01-1981
498, Thirumoorthi Dam,Tiruppur,Udumalpet,"THALI 1 - 2, THIRUMURTHY NAGAR",10.4752,77.1543,01-01-1964
499, Thirumoorthy IB,Tiruppur,Udumalpet,"THALI 1 - 2, THIRUMURTHY NAGAR",10.473,77.1483,01-02-2019
500, Uthukuli,Tiruppur,Uthukkuli,PUNJAI UOOTTHUKKULI,11.1644,77.4349,01-02-2019
501, Avadi,Tiruvallur,Avadi,Thandurai,13.123,80.075,13-11-2021
502, Gummidipoondi,Tiruvallur,Gummidipoondi,Pethikuppam,13.4262,80.1151,01-01-1967
503, Pallipattu,Tiruvallur,Pallipattu,Veliagaram,13.33,79.43,01-01-2003
504, Cholavaram,Tiruvallur,Ponneri,Nallur,13.2181,80.1536,01-01-1960
505, Redhills,Tiruvallur,Ponneri,Naravarikuppam,13.1884,80.1867,01-01-1960
506, Ponneri,Tiruvallur,Ponneri,Ponneri 2,13.33,80.195,01-01-1967
507, Jamine Koratur,Tiruvallur,Poonamallee,Korattur(A),13.0903,80.0107,01-01-1990
508, Poonamallee,Tiruvallur,Poonamallee,Poonamallee,13.0472,80.0945,01-01-2009
509, R.K.Pet,Tiruvallur,R.k. pettai,Vilakanampoodi,13.1644,79.438,01-01-2011
510, Tiruttani,Tiruvallur,Tiruttani,Pattabiramapuram,13.187,79.613,01-01-2011
511, Thiruvalangadu,Tiruvallur,Tiruttani,Thiruvalangadu,13.1317,79.7804,01-01-1982
512, Poondi,Tiruvallur,Tiruvallur,Poondi,13.2085,79.876,01-01-1967
513, Thamaraipakkam,Tiruvallur,Tiruvallur,Thamaraipakkam,13.2291,80.0258,01-01-1960
514, Tiruvallur,Tiruvallur,Tiruvallur,Tiruvallur,13.25,80,01-01-1967
515, Uthukottai,Tiruvallur,Uthukottai,Uthukottai,13.33,79.89,01-01-1999
516," Taluk Office, Arani",Tiruvannamalai,Arni,ARNI WEST,12.7053,79.2489,1889-01-01
517," Taluk Office, Chengam",Tiruvannamalai,Chengam,CHENGAM,12.3408,78.4567,01-06-2008
518, Chetpet,Tiruvannamalai,Chetpet,CHETPET,12.4655,79.3498,01-06-2017
519, Cheyyar,Tiruvannamalai,Cheyyar,KODANAGAR,12.667,79.5402,01-06-1989
520, Jamunamarathur,Tiruvannamalai,Jamunamarathoor,KOVILUR,12.6032,78.8904,12-10-2019
521, Kalasapakkam,Tiruvannamalai,Kalasapakkam,KALASAPPAKKAM,12.4325,79.1035,01-08-2016
522, Kilpennathur,Tiruvannamalai,Kilpennathur,KIZHPENNATHUR,12.2506,79.2182,01-06-2018
523, Polur,Tiruvannamalai,Polur,POLUR,12.5084,79.1226,01-06-1990
524, Thandrampattu,Tiruvannamalai,Thandrampet,THANDARAMPATTU,12.15,78.94,17-05-2017
525, Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,THIRUVANNAMALAI,12.2344,79.0762,01-06-2014
526, Vandavasi,Tiruvannamalai,Vandavasi,VANDAVASI,12.5,79.6,01-01-1990
527, Vembakkam,Tiruvannamalai,Vembakkam,VEMBAKKAM,12.7862,79.5982,28-12-2017
528, Gudiyatham,Vellore,Gudiyatham,Gudiyattam Town,12.9457,78.8739,01-01-1980
529, Melalathur,Vellore,Gudiyatham,Melalathur,12.9123,78.8769,01-01-2005
530, VCS Mill Ammundi,Vellore,Katpadi,Ammundi,12.977,79.2407,01-07-1990
531, Katpadi,Vellore,Katpadi,Katpadi,12.9724,79.1388,01-01-1980
532, Ponnai Dam,Vellore,Katpadi,Ponnai,13.125,79.255,01-01-1960
533, Vellore,Vellore,Vellore,Sathuvachari,12.9362,79.1502,01-01-1900
534, RSCL-3 Anandhapuram,Villupuram,Gingee,ANANDHAPURAM,12.1187,79.3697,18-10-2018
535, Gingee,Villupuram,Gingee,GINGEE,12.25,79.4333,01-01-2011
536, RSCL-3 Semmedu,Villupuram,Gingee,SEMMEDU,12.2521,79.2857,18-10-2018
537, RSCL-3 Vallam,Villupuram,Gingee,VALLAM,12.2454,79.515,18-10-2018
538, BASL Manampoondi,Villupuram,Kandachipuram,MANAMPOONDI,11.9834,79.21,18-10-2018
539, BASL Mugaiyur,Villupuram,Kandachipuram,MUGAIYUR,11.9767,79.3036,18-10-2018
540, Marakkanam,Villupuram,Marakkanam,MARAKANAM SOUTH,12.1833,79.9,01-01-2011
541, RSCL-3 Avalurpettai,Villupuram,Melmalaiyanur,AVALURPETTAI,12.3387,79.2439,18-10-2018
542, RSCL-3 Valathy,Villupuram,Melmalaiyanur,VALATHI,12.3461,79.3737,18-10-2018
543, SCS MILL Arasoor,Villupuram,Thiruvennainallur,ARASUR,11.8292,79.4271,18-10-2018
544, SCS MILL Thiruvennainallur,Villupuram,Thiruvennainallur,THIRUVENNAINALLUR (N),11.8589,79.3658,18-10-2018
545, TINDIVANAM,Villupuram,Tindivanam,TINDIVANAM,12.25,79.65,01-01-2011
546, VANUR,Villupuram,Vanur,VANUR,12.0333,79.75,01-11-2011
547, RSCL-2 Kanjanur,Villupuram,Vikkiravandi,KANCHANUR,12.0595,79.4498,18-10-2018
548, RSCL-2 Mundiyampakkam,Villupuram,Vikkiravandi,MUNDIYAMPAKKAM,11.9989,79.5179,18-10-2018
549, RSCL-2 Nemoor,Villupuram,Vikkiravandi,NEMUR,12.0971,79.4546,18-10-2018
550, RSCL-2 Soorapattu,Villupuram,Vikkiravandi,SOORAPPATTU,12.0065,79.4328,18-10-2018
551, RSCL-2 Kedar,Villupuram,Villupuram,KEDAR,12.0067,79.4059,18-10-2018
552, RSCL-2 Koliyanur,Villupuram,Villupuram,KOLIYANUR,11.9271,79.5502,18-10-2018
553, RSCL-2 Valavanur,Villupuram,Villupuram,VALAVANUR,11.9211,79.579,18-10-2018
554, VILUPPURAM,Villupuram,Villupuram,VILUPURAM,11.9333,79.5,01-01-2011
555, Aruppukottai,Virudhunagar,Aruppukottai,ARUPPUKOTTAI,9.50253,78.0963,12-09-1955
556, Kovilankulam,Virudhunagar,Aruppukottai,KOVILANKULAM,9.51052,78.0958,09-11-1981
557, Kariyapatti,Virudhunagar,Kariyapatti,KATTUKUTHAGAI KARISALKULAM,9.66951,78.101,10-07-1982
558, Rajapalayam,Virudhunagar,Rajapalayam,Sammandhapuram,9.45935,77.5453,18-03-1980
559, Sattur,Virudhunagar,Sattur,Sattur,9.352,77.9201,1893-11-07
560, Sivakasi RDO office,Virudhunagar,Sivakasi,Anaiyur,9.46282,77.7779,15-07-1982
561," Taluk Office, Srivilliputhur",Virudhunagar,Srivlliputhur,Srivilliputtur,9.50373,77.6359,10-11-1976
562, Tiruchuli,Virudhunagar,Tiruchuli,TIRUCHULI,9.53761,78.2023,07-07-1980
563, Vembakottai Dam,Virudhunagar,Vembakkottai,Kundayiruppu,9.33307,77.7695,01-01-1999
564, Virudhunagar,Virudhunagar,Virudhunagar,CHINNAMUPANPATTI,9.60025,77.9529,10-03-1980
565, Periyar Dam,Virudhunagar,Watrap,S.Kodikulam,9.6383,77.5232,10-07-1973
566, Watrap,Virudhunagar,Watrap,Watrap,9.6365,77.6399,10-05-1973
