Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
157, Anaikedanku,Kanniyakumari,Thiruvattar,PONMANAI A,8.31241,77.2845,07-11-2022
158, Thirparappu,Kanniyakumari,Thiruvattar,THIRPARAPPU,8.3911,77.2594,07-11-2022
159, Puthan dam,Kanniyakumari,Thiruvattar,THIRUVATTAR,8.35779,77.3501,01-01-2000
160, Aralvaimozhi,Kanniyakumari,Thovalai,ARALVOIMOZHY SOUTH,8.1531,77.314,07-11-2022
161, Bhoothapandy,Kanniyakumari,Thovalai,BOOTHAPANDY,8.26667,77.4333,01-01-1998
162, Mukkadal dam,Kanniyakumari,Thovalai,CHIRAMADAM,8.28124,77.4142,07-11-2022
163, Balamore,Kanniyakumari,Thovalai,THADIKARANKONAM,8.2,77.23,07-11-2022
164, Chittar I,Kanniyakumari,Vilavancode,ARUMANAI,8.33711,77.2459,01-01-1998
165, Sivalogam (Chittar II),Kanniyakumari,Vilavancode,ARUMANAI,8.44859,77.2756,01-01-2000
166, Kalial,Kanniyakumari,Vilavancode,KALIYAL,8.46432,77.2441,01-01-2000
167, Kuzhithurai,Kanniyakumari,Vilavancode,KUZHITHURAI TOWN,8.31819,77.2062,01-01-2000
168, Aravakurichi,Karur,Aravakurichi,ARAVAKURICHI,10.7727,77.91,01-07-2000
169, Anaippalayam,Karur,Aravakurichi,P.ANAIPALAYAM,10.8597,77.9049,01-07-1988
170, Kadavur,Karur,Kadavur,D.EDAYAPATTI(W),10.5949,78.1915,01-07-1930
171, Mylampatti,Karur,Kadavur,KEELAPAGUTHI,10.7316,78.2453,01-07-2004
172, Palaviduthi,Karur,Kadavur,PALAVIDUTHI,10.6471,78.2323,01-07-1976
173, Karur,Karur,Karur,L.N.SAMUDRAM,10.9591,78.0784,01-07-1977
174, Krishnarayapuram,Karur,Krishnarayapuram,KRISHNARAYAPURAM(N),10.9579,78.2639,01-07-1998
175, Mayanoor,Karur,Krishnarayapuram,MAYANOOR,10.9563,78.2393,01-07-1943
176, Panjapatti,Karur,Krishnarayapuram,PANCHAPATTI,10.8298,78.3006,01-07-2002
177, Kulithalai,Karur,Kulithalai,KULITHALAI,10.9406,78.4209,1889-07-01
178, Thogamalai,Karur,Kulithalai,THOGAMALAI,10.726,78.4099,01-07-1987
179, K.Paramathi,Karur,Pugalur,K.PARAMATHI,10.9621,77.9059,01-07-1971
180, Anchetty police station,Krishnagiri,Anchetty,ANCHETTY,12.3507,77.7294,12-12-2018
181, Denkanikotai,Krishnagiri,Denkanikottai,DENKANIKOTTA,12.521,77.7912,10-12-2019
182, Rayakottai,Krishnagiri,Denkanikottai,RAYAKOTTAH,12.5118,78.0376,10-12-2019
183, Thally,Krishnagiri,Denkanikottai,THALLI,12.5841,77.6538,10-12-2019
184, Kelavarapalli Dam,Krishnagiri,Hosur,AVALAPALLI,12.767,77.8736,07-11-2022
185," Taluk Office, Hosur",Krishnagiri,Hosur,HOSUR,12.7271,77.8276,01-12-2019
186," Taluk Office, Krishnagiri",Krishnagiri,Krishnagiri,BOGANAPALLI,12.5254,78.2184,10-12-2019
187, Nedungal,Krishnagiri,Krishnagiri,MARICHETTYHALLI - 2,12.3424,78.221,10-12-2019
188, KRP dam,Krishnagiri,Krishnagiri,PERIYAMUTHUR,12.4731,78.1952,07-11-2022
189, Barur,Krishnagiri,Pochampalli,BARUR,12.3049,78.3066,10-12-2019
190, Penukondapuram,Krishnagiri,Pochampalli,GENDIGAMPATTI,12.3638,78.4227,10-12-2019
191, Jambukuttapatti,Krishnagiri,Pochampalli,JAMBUKUTTAPPATTI,12.32,78.36,10-12-2019
192, Chinnar Dam,Krishnagiri,Shoolagiri,MARANDAPALLI,12.6695,78.0422,07-11-2022
193, BDO Shoolagiri,Krishnagiri,Shoolagiri,SHOOLAGIRI,12.6624,78.012,10-12-2019
194, Pambar Dam,Krishnagiri,Uthangarai,KOLLANUR,12.2633,78.5634,07-11-2022
195, Taluk Office Uthangarai,Krishnagiri,Uthangarai,UTTANGARAI,12.2644,78.5333,10-12-2019
196, Kallikudi,Madurai,Kalligudi,Kalligudi Bit 1,9.69293,77.9724,21-11-2019
197, Idayapatti,Madurai,Madurai east,Idayapatti,9.94051,78.2765,21-11-2019
198, Kallandri,Madurai,Madurai east,Kallandiri Bit 1,10.039,78.2001,21-11-2019
199, Chittampatti,Madurai,Madurai east,Thamaraipatti Bit 1,9.98534,78.2391,21-11-2019
